Ticker,Current Price,DonchianLow,DonchianHigh,UpperVol,LowerVol,ImpliedVol,VolumeChange,UpperRange,LowerRange,Signal
PHYS,15.696,14.43,15.74,15.66,15.48,0.09,-7.42,15.65,14.52,Sell Signal
F,6.575,5.74,7.06,6.83,6.65,0.09,-36.87,6.97,5.83,StDev Low
WPM,53.96,44.88,57.23,53.58,52.02,0.78,-19.05,56.45,45.66,StDev High
KGC,9.32,7.27,8.99,8.8,8.58,0.11,2.76,8.88,7.38,3 Week High
SPY,321.42,310.68,327.23,325.17,322.75,1.21,-49.67,326.02,311.89,StDev Low
AG,13.27,9.99,14.5,13.29,12.65,0.32,27.9,14.18,10.31,Hold - Within StDev
GDX,42.865,36.87,44.46,42.1,41.16,0.47,-27.13,43.99,37.34,StDev High
AUY,6.5,5.26,6.88,6.45,6.27,0.09,0.65,6.79,5.35,StDev High
GDXJ,60.525,51.04,63.31,59.74,58.06,0.84,-36.33,62.47,51.88,StDev High
GLD,185.41,168.57,186.14,184.96,182.56,1.2,32.48,184.94,169.77,Sell Signal
GOLD,28.975,25.95,30.2,28.48,28.02,0.23,-9.62,29.97,26.18,StDev High
SPAZF,0.3134,0.12,0.41,0.33,0.29,0.02,4121.32,0.39,0.14,Hold - Within StDev
CNSUF,0.1595,0.09,0.1952,0.17,0.15,0.01,0,0.19,0.1,Hold - Within StDev
AUMN,0.4168,0.3867,0.58,0.42,0.4,0.01,-6.23,0.57,0.4,Hold - Within StDev
SSVFF,0.2585,0.1735,0.35,0.27,0.25,0.01,12365.69,0.34,0.18,Hold - Within StDev
HL,5.435,3.63,5.68,5.5,5.2,0.15,45.86,5.53,3.78,Hold - Within StDev
MUX,1.405,1.01,1.51,1.37,1.31,0.03,-3.08,1.48,1.04,StDev High
JPM,95.4,90.78,101.29,97.62,96.42,0.6,-22.44,100.69,91.38,StDev Low
MSFT,199.92,197.51,216.38,205.02,202.78,1.12,-53.45,215.26,198.63,StDev Low
EGO,12.6,10.53,12.62,12.11,11.79,0.16,-11.58,12.46,10.69,Sell Signal
NEM,68.62,59.05,70.3,66.24,65.08,0.58,2.83,69.72,59.63,StDev High
FNV,159.45,140.81,165.98,159.13,155.93,1.6,-15.29,164.38,142.41,StDev High
SBSW,11.34,9.39,12.53,11.52,11.1,0.21,-7.57,12.32,9.6,Hold - Within StDev
SLV,22.445,17.22,23.25,22.18,21.34,0.42,123.89,22.83,17.64,StDev High
UBER,29.81,29.97,34.46,30.5,29.98,0.26,-35.0,34.2,30.23,Donchian Low
VXX,29.82,28.15,36.01,29.63,28.77,0.43,90.58,35.58,28.58,StDev High
WKHS,15.56,13.36,17.68,16.82,16.02,0.4,1427.33,17.28,13.76,StDev Low
TLT,170.38,164.6,171.26,171.54,170.68,0.43,-19.21,170.83,165.03,StDev Low
CVNA,152.37,124.89,157.44,158.15,153.59,2.28,-57.82,155.16,127.17,StDev Low
