Ticker,Current Price,DonchianLow,DonchianHigh,UpperVol,LowerVol,ImpliedVol,VolumeChange,UpperRange,LowerRange,PercentDownside,PercentUpside,Signal
PHYS,16.36,15.3,16.33,16.324216909533007,16.07578309046699,0.116,10.873,16.20578309046699,15.424216909533008,6%,Infinite,3 Week High
F,6.955,6.52,7.06,7.036114117703705,6.883885882296295,0.063,-7.466,6.983885882296295,6.596114117703705,5%,0%,Hold - Within StDev
WPM,55.43,51.93,57.89,57.043239695644345,55.376760304355656,0.756,5.795,57.056760304355656,52.763239695644344,5%,3%,Hold - Within StDev
KGC,9.785,8.42,10.21,10.029397262240478,9.71060273775952,0.147,97.522,10.050602737759522,8.579397262240478,12%,3%,Hold - Within StDev
SPY,331.89,319.64,332.39,333.1797791731656,331.0402208268344,1.177,-41.783,331.3202208268344,320.7097791731656,3%,0%,Sell Signal
AG,13.63,12.78,14.57,14.155213176101313,13.464786823898688,0.3,222.267,14.224786823898688,13.125213176101312,4%,4%,Hold - Within StDev
GDX,44.1,40.96,45.78,45.029616184838616,44.030383815161386,0.477,30.197,45.280383815161386,41.459616184838616,6%,3%,Hold - Within StDev
AUY,6.765,6.22,7.02,6.938183136883083,6.721816863116917,0.097,83.851,6.911816863116917,6.328183136883083,6%,2%,Hold - Within StDev
GDXJ,63.52,58.04,65.95,64.91681157591854,63.18318842408145,0.831,-9.528,65.08318842408146,58.906811575918546,7%,2%,Hold - Within StDev
GLD,193.62,181.42,193.13,192.98954799589825,189.71045200410174,1.502,103.668,191.49045200410174,183.05954799589824,5%,Infinite,3 Week High
GOLD,29.45,27.52,30.69,30.068856924588946,29.611143075411054,0.232,38.972,30.461143075411055,27.748856924588946,6%,3%,StDev Low
SPAZF,0.525,0.304,0.5487,0.5495687793817066,0.5004312206182935,0.02,19396.256,0.5241312206182934,0.3285687793817065,37%,0%,Sell Signal
CNSUF,0.172,0.0,0.195,0.17860057605740964,0.16539942394259033,0.005,9036.364,0.18839942394259035,0.006600576057409667,96%,10%,Hold - Within StDev
AUMN,0.4644,0.3867,0.485,0.4856426873571685,0.4699573126428315,0.009,448.543,0.4771573126428315,0.39454268735716846,15%,3%,StDev Low
SSVFF,0.3542,0.2477,0.39,0.36609832173105694,0.3423016782689431,0.01,258.823,0.3781016782689431,0.25959832173105696,27%,7%,Hold - Within StDev
HL,6.425,5.19,6.65,6.596665098045356,6.243334901954644,0.148,251.896,6.473334901954645,5.366665098045356,16%,1%,Hold - Within StDev
MUX,1.44,1.29,1.53,1.4927176513033613,1.4272823486966386,0.029,79.89,1.4972823486966387,1.3227176513033614,8%,4%,Hold - Within StDev
JPM,97.22,95.03,99.71,97.70477717904802,96.71522282095196,0.517,-26.83,99.21522282095196,95.52477717904803,2%,2%,Hold - Within StDev
MSFT,213.07,199.01,217.64,213.9390902788444,211.9409097211556,1.206,-10.208,216.6409097211556,200.00909027884438,6%,2%,Hold - Within StDev
EGO,12.505,11.62,13.2,12.857198186737032,12.56280181326297,0.153,50.257,13.052801813262969,11.76719818673703,6%,4%,StDev Low
NEM,69.97,64.53,72.22,71.05163340208983,69.68836659791017,0.641,6.115,71.53836659791017,65.21163340208983,7%,2%,Hold - Within StDev
FNV,157.08,155.14,166.11,162.18185959073958,158.93814040926043,1.379,2.166,164.48814040926044,156.76185959073956,0%,5%,StDev Low
SBSW,11.79,10.91,12.52,12.256275917241556,11.843724082758445,0.197,39.799,12.313724082758444,11.116275917241556,6%,4%,StDev Low
SLV,26.31,21.4,25.28,25.598923501973896,24.501076498026105,0.478,776.318,24.731076498026106,21.948923501973894,17%,Infinite,3 Week High
UBER,34.17,29.79,33.32,33.43454597889133,32.96545402110868,0.25,-44.398,33.085454021108674,30.02454597889132,12%,Infinite,3 Week High
VXX,27,26.95,31.27,27.500374015940654,26.579625984059344,0.403,35.348,30.809625984059345,27.410374015940654,-2%,14%,Buy!
WKHS,16.53,15.03,19.68,17.1204735291038,16.739526470896198,0.418,53.992,19.489526470896198,15.2204735291038,8%,18%,StDev Low
TLT,171.43,168.97,171.58,170.50031916849804,169.63968083150195,0.433,-52.762,171.14968083150197,169.40031916849804,1%,0%,Sell Signal
CVNA,208.37,148.49,177.29,176.5585502338913,171.6814497661087,2.589,-8.713,174.8514497661087,150.92855023389131,28%,Infinite,3 Week High
ISVLF,0.8136,0.6777,0.92,0.837836840394534,0.789363159605466,0.022,509.326,0.895763159605466,0.701936840394534,14%,10%,Hold - Within StDev
