Date,Close,Returns,MonthDev,MonthRT,TradeDev,TradeRT,TrendDev,TrendRT,TailDev,TailRT
4/28/20,2863.39,-0.52%,-0.52%,-0.52%,-0.52%,-0.52%,-0.52%,-0.52%,-0.52%,-0.52%
4/27/20,2878.48,1.47%,1.47%,0.95%,1.47%,0.95%,1.47%,0.95%,1.47%,0.95%
4/24/20,2836.74,1.39%,1.39%,2.34%,1.39%,2.34%,1.39%,2.34%,1.39%,2.34%
4/23/20,2797.8,-0.05%,-0.05%,2.29%,-0.05%,2.29%,-0.05%,2.29%,-0.05%,2.29%
4/22/20,2799.31,2.29%,2.29%,4.58%,2.29%,4.58%,2.29%,4.58%,2.29%,4.58%
4/21/20,2736.56,-3.07%,-3.07%,1.51%,-3.07%,1.51%,-3.07%,1.51%,-3.07%,1.51%
4/20/20,2823.16,-1.79%,-1.79%,-0.28%,-1.79%,-0.28%,-1.79%,-0.28%,-1.79%,-0.28%
4/17/20,2874.56,2.68%,2.68%,2.40%,2.68%,2.40%,2.68%,2.40%,2.68%,2.40%
4/16/20,2799.55,0.58%,0.58%,2.98%,0.58%,2.98%,0.58%,2.98%,0.58%,2.98%
4/15/20,2783.36,-2.20%,-2.20%,0.78%,-2.20%,0.78%,-2.20%,0.78%,-2.20%,0.78%
4/14/20,2846.06,3.06%,3.06%,3.84%,3.06%,3.84%,3.06%,3.84%,3.06%,3.84%
4/13/20,2761.63,-1.01%,-1.01%,2.83%,-1.01%,2.83%,-1.01%,2.83%,-1.01%,2.83%
4/9/20,2789.82,1.45%,1.45%,4.28%,1.45%,4.28%,1.45%,4.28%,1.45%,4.28%
4/8/20,2749.98,3.41%,3.41%,7.68%,3.41%,7.68%,3.41%,7.68%,3.41%,7.68%
4/7/20,2659.41,-0.16%,-0.16%,7.52%,-0.16%,7.52%,-0.16%,7.52%,-0.16%,7.52%
4/6/20,2663.68,7.03%,7.03%,14.55%,7.03%,14.55%,7.03%,14.55%,7.03%,14.55%
4/3/20,2488.65,-1.51%,-1.51%,13.04%,-1.51%,13.04%,-1.51%,13.04%,-1.51%,13.04%
4/2/20,2526.9,2.28%,2.28%,15.32%,2.28%,15.32%,2.28%,15.32%,2.28%,15.32%
4/1/20,2470.5,-4.41%,-4.41%,10.91%,-4.41%,10.91%,-4.41%,10.91%,-4.41%,10.91%
3/31/20,2584.59,-1.60%,-1.60%,9.31%,-1.60%,9.31%,-1.60%,9.31%,-1.60%,9.31%
3/30/20,2626.65,3.35%,3.35%,12.66%,3.35%,12.66%,3.35%,12.66%,3.35%,12.66%
3/27/20,2541.47,-3.37%,-3.37%,9.29%,-3.37%,9.29%,-3.37%,9.29%,-3.37%,9.29%
3/26/20,2630.07,6.24%,6.24%,15.53%,6.24%,15.53%,6.24%,15.53%,6.24%,15.53%
3/25/20,2475.56,1.15%,1.15%,16.69%,1.15%,16.69%,1.15%,16.69%,1.15%,16.69%
3/24/20,2447.33,9.38%,9.38%,26.07%,9.38%,26.07%,9.38%,26.07%,9.38%,26.07%
3/23/20,2237.4,-2.93%,-2.93%,23.14%,-2.93%,23.14%,-2.93%,23.14%,-2.93%,23.14%
3/20/20,2304.92,-4.34%,-4.34%,18.80%,-4.34%,18.80%,-4.34%,18.80%,-4.34%,18.80%
3/19/20,2409.39,0.47%,0.47%,19.27%,0.47%,19.27%,0.47%,19.27%,0.47%,19.27%
3/18/20,2398.1,-5.18%,-5.18%,14.09%,-5.18%,14.09%,-5.18%,14.09%,-5.18%,14.09%
3/17/20,2529.19,6.00%,6.00%,20.09%,6.00%,20.09%,6.00%,20.09%,6.00%,20.09%
3/16/20,2386.13,-11.98%,-11.98%,8.10%,-11.98%,8.10%,-11.98%,8.10%,-11.98%,8.10%
