Date,Close,Returns,1to1,Running Total(1),1to2,Running Total(2),1to4,Running Total(4),1to8,Running Total(8),1to16,Running Total(16),1to32,Running Total(32)
11/15/12,1353.33,-0.00159352,-0.001919369,-0.001919369,-0.00195738,-0.00195738,-0.001817678,-0.001817678,-0.001758768,-0.001758768,-0.002127125,-0.002127125,-0.001940301,-0.001940301
11/14/12,1355.49,-0.013852008,-0.014177857,-0.016097226,-0.014215868,-0.016173249,-0.014076166,-0.015893844,-0.014017256,-0.015776025,-0.014385612,-0.016512737,-0.014198789,-0.01613909
11/13/12,1374.53,-0.003963768,-0.004289617,-0.020386843,-0.004327629,-0.020500878,-0.004187927,-0.020081771,-0.004129017,-0.019905041,-0.004497373,-0.02101011,-0.004310549,-0.020449639
11/12/12,1380,0.000108707,-0.000217142,-0.020603985,-0.000255153,-0.020756031,-0.000115451,-0.020197222,-0.0000565,-0.019961583,-0.000424897,-0.021435008,-0.000238074,-0.020687713
11/9/12,1379.85,0.001698717,0.001372868,-0.019231117,0.001334856,-0.019421174,0.001474559,-0.018722664,0.001533469,-0.018428114,0.001165112,-0.020269895,0.001351936,-0.019335777
11/8/12,1377.51,-0.012204829,-0.012530678,-0.031761795,-0.01256869,-0.031989864,-0.012428987,-0.031151651,-0.012370078,-0.030798192,-0.012738434,-0.033008329,-0.01255161,-0.031887387
11/7/12,1394.53,-0.023705011,-0.02403086,-0.055792655,-0.024068871,-0.056058735,-0.023929169,-0.05508082,-0.023870259,-0.054668451,-0.024238615,-0.057246944,-0.024051792,-0.055939179
11/6/12,1428.39,0.007853181,0.007527332,-0.048265323,0.007489321,-0.048569415,0.007629023,-0.047451797,0.007687933,-0.046980518,0.007319577,-0.049927368,0.0075064,-0.048432778
11/5/12,1417.26,0.002163768,0.001837918,-0.046427405,0.001799907,-0.046769508,0.001939609,-0.045512188,0.001998519,-0.044981999,0.001630163,-0.048297205,0.001816986,-0.046615792
11/2/12,1414.2,-0.009379444,-0.009705293,-0.056132698,-0.009743304,-0.056512812,-0.009603602,-0.055115791,-0.009544692,-0.054526692,-0.009913049,-0.058210254,-0.009726225,-0.056342017
