 Date,Open,Low,High,Close
4/24/20,2812.64,2791.76,2842.71,2836.74
4/23/20,2810.42,2794.26,2844.9,2797.8
4/22/20,2787.89,2775.95,2815.1,2799.31
4/21/20,2784.81,2727.1,2785.54,2736.56
4/20/20,2845.62,2820.43,2868.98,2823.16
4/17/20,2842.43,2830.88,2879.22,2874.56
4/16/20,2799.34,2764.32,2806.51,2799.55
4/15/20,2795.64,2761.54,2801.88,2783.36
4/14/20,2805.1,2805.1,2851.85,2846.06
4/13/20,2782.46,2721.17,2782.46,2761.63
4/9/20,2776.99,2762.36,2818.57,2789.82
4/8/20,2685,2663.3,2760.75,2749.98
4/7/20,2738.65,2657.67,2756.89,2659.41
4/6/20,2578.28,2574.57,2676.85,2663.68
4/3/20,2514.92,2459.96,2538.18,2488.65
4/2/20,2458.54,2455.79,2533.22,2526.9
4/1/20,2498.08,2447.49,2522.75,2470.5
3/31/20,2614.69,2571.15,2641.39,2584.59
3/30/20,2558.98,2545.28,2631.8,2626.65
3/27/20,2555.87,2520.02,2615.91,2541.47
3/26/20,2501.29,2500.72,2637.01,2630.07
3/25/20,2465,2401,2576,2475.56
3/24/20,2344.44,2344.44,2449.71,2447.33
3/23/20,2290.71,2191.86,2300.73,2237.4
3/20/20,2431.94,2295.56,2453.01,2304.92
3/19/20,2393.48,2319.78,2466.97,2409.39
3/18/20,2436.5,2280.52,2453.57,2398.1
3/17/20,2425.66,2367.04,2553.93,2529.19
3/16/20,2508.59,2380.94,2562.98,2386.13
3/13/20,2569.99,2492.37,2711.33,2711.02
3/12/20,2630.86,2478.86,2660.95,2480.64
3/11/20,2825.6,2707.22,2825.6,2741.38
3/10/20,2813.48,2734,2882.59,2882.23
3/9/20,2863.89,2734.43,2863.89,2746.56
3/6/20,2954.2,2901.54,2985.93,2972.37
3/5/20,3075.7,2999.83,3083.04,3023.94
3/4/20,3045.75,3034.38,3130.97,3130.12
3/3/20,3096.46,2976.63,3136.72,3003.37
3/2/20,2974.28,2945.19,3090.96,3090.23
2/28/20,2916.9,2855.84,2959.72,2954.22
2/27/20,3062.54,2977.39,3097.07,2978.76
2/26/20,3139.9,3108.99,3182.51,3116.39
2/25/20,3238.94,3118.77,3246.99,3128.21
2/24/20,3257.61,3214.65,3259.81,3225.89
2/21/20,3360.5,3328.45,3360.76,3337.75
2/20/20,3380.45,3341.02,3389.15,3373.23
2/19/20,3380.39,3378.83,3393.52,3386.15
2/18/20,3369.04,3355.61,3375.01,3370.29
2/14/20,3378.08,3366.15,3380.69,3380.16
2/13/20,3365.9,3360.52,3385.09,3373.94
2/12/20,3370.5,3369.72,3381.47,3379.45
2/11/20,3365.87,3352.72,3375.63,3357.75
2/10/20,3318.28,3317.77,3352.26,3352.09
2/7/20,3335.54,3322.12,3341.42,3327.71
2/6/20,3344.92,3334.39,3347.96,3345.78
2/5/20,3324.91,3313.75,3337.58,3334.69
2/4/20,3294.5,3269.73,3306.74,3296.44
2/3/20,3262.29,3235,3268.48,3247.84
1/31/20,3267.11,3214.28,3285.2,3226.98
1/30/20,3258.65,3242.07,3283.7,3282.7
1/29/20,3280.32,3271.55,3293.58,3275.36
1/28/20,3258.44,3243.43,3285.93,3280.01
1/27/20,3252.9,3234.69,3267.75,3245.56
1/24/20,3330.18,3281.41,3337.21,3295.65
1/23/20,3310.19,3301.73,3326.88,3324.63
1/22/20,3334.84,3319.96,3337.48,3324.47
1/21/20,3320.8,3308.4,3329.94,3320.52
1/17/20,3324.67,3318.67,3329.56,3329.31
1/16/20,3304.21,3298.89,3315.76,3315.76
1/15/20,3294.47,3278.52,3298.41,3287.92
1/14/20,3279.29,3274.66,3294.18,3281.6
1/13/20,3280.35,3268.17,3287.17,3286.43
1/10/20,3280.35,3260.36,3286.23,3265.82
1/9/20,3267.09,3263.64,3275.98,3273.62
1/8/20,3247.08,3227.47,3267.14,3252.67
1/7/20,3235.53,3231.29,3253.93,3237.25
1/6/20,3225.83,3209.11,3245.44,3244.44
1/3/20,3233.59,3206.41,3245.81,3235.78
1/2/20,3248.45,3235.16,3256.24,3255.99
12/31/19,3223.51,3212.3,3229.81,3227.57
12/30/19,3225.64,3216.13,3242.68,3220.04
12/27/19,3236.62,3233.94,3251.8,3238.92
12/26/19,3231,3227.27,3237.37,3236.62
12/24/19,3222.48,3220.15,3227.99,3224.33
12/23/19,3224.93,3222.62,3230.65,3222.62
12/20/19,3216.1,3204.14,3225.24,3222.26
12/19/19,3194.6,3189.89,3205.6,3203.44
12/18/19,3193.18,3188.5,3198.79,3193.72
12/17/19,3192.07,3187.36,3198.78,3193.3
12/16/19,3191.4,3180.21,3197.99,3191.16
12/13/19,3169,3156.38,3184.24,3169.93
12/12/19,3165.59,3137.22,3176.82,3170.01
12/11/19,3135.75,3133.21,3143.98,3141.63
12/10/19,3135.36,3126.09,3142.12,3132.52
12/9/19,3147.61,3136.99,3148.95,3137.24
12/6/19,3143.63,3120.59,3150.7,3144.41
12/5/19,3111.97,3103.23,3124.33,3116.09
12/4/19,3103.5,3102.53,3119.38,3112.76
12/3/19,3087.41,3070.33,3094.97,3093.2
12/2/19,3126.58,3110.7,3158.13,3113.98
11/29/19,3148.73,3139.71,3150.33,3143.62
11/27/19,3144.93,3142.68,3154.07,3153.52
11/26/19,3137.03,3128.68,3142.68,3142.18
11/25/19,3127.66,3117.69,3133.71,3133.71
11/22/19,3111.04,3098.63,3115.44,3110.29
11/21/19,3102.66,3094.31,3114.38,3108.28
11/20/19,3115.64,3090.88,3118.89,3106.69
11/19/19,3121.53,3113.14,3133.02,3120.57
11/18/19,3115.82,3111.83,3126.34,3119.54
11/15/19,3104.31,3103.25,3117.73,3117.73
11/14/19,3093.24,3082.75,3098.11,3095.86
11/13/19,3084.18,3078.8,3098.06,3094.04
11/12/19,3089.28,3084.73,3102.61,3091.84
11/11/19,3080.33,3075.82,3088.33,3087.01
11/8/19,3081.25,3073.58,3093.09,3093.08
11/7/19,3087.02,3080.23,3097.77,3085.18
11/6/19,3075.1,3065.89,3078.34,3076.78
11/5/19,3080.8,3072.15,3083.95,3074.62
11/4/19,3078.96,3074.87,3085.2,3078.27
11/1/19,3050.72,3050.72,3066.95,3066.91
10/31/19,3046.9,3023.19,3046.9,3037.56
10/30/19,3039.74,3025.96,3050.1,3046.77
10/29/19,3035.39,3034.81,3047.87,3036.89
10/28/19,3032.12,3032.12,3044.08,3039.42
10/25/19,3003.32,3001.94,3027.39,3022.55
10/24/19,3014.78,3000.42,3016.07,3010.29
10/23/19,2994.01,2991.21,3004.78,3004.52
10/22/19,3010.73,2995.04,3014.57,2995.99
10/21/19,2996.48,2995.35,3007.33,3006.72
10/18/19,2996.84,2976.31,3000,2986.2
10/17/19,3000.77,2991.79,3008.29,2997.95
10/16/19,2989.68,2985.2,2997.54,2989.69
10/15/19,2973.61,2973.61,3003.28,2995.68
10/14/19,2965.81,2962.94,2972.84,2966.15
10/11/19,2963.07,2963.07,2993.28,2970.27
10/10/19,2918.55,2917.12,2948.46,2938.13
10/9/19,2911.1,2907.41,2929.32,2919.4
10/8/19,2920.4,2892.66,2925.47,2893.06
10/7/19,2944.23,2935.68,2959.75,2938.79
10/4/19,2918.56,2918.56,2953.74,2952.01
10/3/19,2885.38,2855.94,2911.13,2910.63
10/2/19,2924.78,2874.93,2924.78,2887.61
10/1/19,2983.69,2938.7,2992.53,2940.25
9/30/19,2967.07,2967.07,2983.85,2976.74
9/27/19,2985.47,2945.53,2987.31,2961.79
9/26/19,2985.73,2963.71,2987.28,2977.62
9/25/19,2968.35,2952.86,2989.82,2984.87
9/24/19,3002.43,2957.73,3007.98,2966.6
9/23/19,2983.5,2982.23,2999.15,2991.78
9/20/19,3008.42,2984.68,3016.37,2992.07
9/19/19,3010.36,3003.16,3021.99,3006.79
9/18/19,3001.5,2978.57,3007.83,3006.73
9/17/19,2995.67,2993.73,3006.21,3005.7
9/16/19,2996.41,2990.67,3002.19,2997.96
9/13/19,3012.21,3002.9,3017.33,3007.39
9/12/19,3009.08,3000.92,3020.74,3009.57
9/11/19,2981.41,2975.31,3000.93,3000.93
9/10/19,2971.01,2957.01,2979.39,2979.39
9/9/19,2988.43,2969.39,2989.43,2978.43
9/6/19,2980.33,2972.51,2985.03,2978.71
9/5/19,2960.6,2960.6,2985.86,2976
9/4/19,2924.67,2921.86,2938.84,2937.78
9/3/19,2909.01,2891.85,2914.39,2906.27
8/30/19,2937.09,2913.32,2940.43,2926.46
8/29/19,2910.37,2905.67,2930.5,2924.58
8/28/19,2861.28,2853.05,2890.03,2887.94
8/27/19,2893.14,2860.59,2898.79,2869.16
8/26/19,2866.7,2856,2879.27,2878.38
8/23/19,2911.07,2834.97,2927.01,2847.11
8/22/19,2930.94,2904.51,2939.08,2922.95
8/21/19,2922.04,2917.91,2928.73,2924.43
8/20/19,2919.01,2899.6,2923.63,2900.51
8/19/19,2913.48,2913.48,2931,2923.65
8/16/19,2864.74,2864.74,2893.63,2888.68
8/15/19,2846.2,2825.51,2856.67,2847.6
8/14/19,2894.15,2839.64,2894.15,2840.6
8/13/19,2880.72,2877.05,2943.31,2926.32
8/12/19,2907.07,2873.14,2907.58,2883.75
8/9/19,2930.51,2900.15,2935.75,2918.65
8/8/19,2896.21,2894.47,2938.72,2938.09
8/7/19,2858.65,2825.71,2892.17,2883.98
8/6/19,2861.18,2847.42,2884.4,2881.77
8/5/19,2898.07,2822.12,2898.07,2844.74
8/2/19,2943.9,2914.11,2945.5,2932.05
8/1/19,2980.32,2945.23,3013.59,2953.56
7/31/19,3016.22,2958.08,3017.4,2980.38
7/30/19,3007.66,3000.94,3017.19,3013.18
7/29/19,3024.47,3014.3,3025.61,3020.97
7/26/19,3013.25,3012.59,3027.98,3025.86
7/25/19,3016.26,2997.24,3016.31,3003.67
7/24/19,2998.77,2996.82,3019.59,3019.56
7/23/19,2994.74,2988.56,3005.9,3005.47
7/22/19,2981.93,2976.65,2990.71,2985.03
7/19/19,3004.26,2975.86,3006.02,2976.61
7/18/19,2978.87,2973.09,2998.28,2995.11
7/17/19,3005.1,2984.25,3005.26,2984.42
7/16/19,3012.13,3001.15,3015.02,3004.04
7/15/19,3017.8,3008.77,3017.8,3014.3
7/12/19,3003.36,3001.87,3013.92,3013.77
7/11/19,2999.62,2988.8,3002.33,2999.91
7/10/19,2989.3,2984.62,3002.98,2993.07
7/9/19,2965.52,2963.44,2981.9,2979.63
7/8/19,2979.77,2970.09,2980.76,2975.95
7/5/19,2984.25,2967.97,2994.03,2990.41
7/3/19,2978.08,2977.96,2995.84,2995.82
7/2/19,2964.66,2955.92,2973.21,2973.01
7/1/19,2971.41,2952.22,2977.93,2964.33
6/28/19,2932.94,2929.05,2943.98,2941.76
6/27/19,2919.66,2918.57,2929.3,2924.92
6/26/19,2926.07,2912.99,2932.59,2913.78
6/25/19,2945.78,2916.01,2946.52,2917.38
6/24/19,2951.42,2944.05,2954.92,2945.35
6/21/19,2952.71,2946.87,2964.15,2950.46
6/20/19,2949.6,2931.5,2958.06,2954.18
6/19/19,2920.55,2911.43,2931.74,2926.46
6/18/19,2906.71,2905.44,2930.79,2917.75
6/17/19,2889.75,2887.3,2897.27,2889.67
6/14/19,2886.82,2879.62,2894.45,2886.98
6/13/19,2886.24,2881.99,2895.24,2891.64
6/12/19,2882.73,2874.68,2888.57,2879.84
6/11/19,2903.27,2878.53,2910.61,2885.72
6/10/19,2885.83,2885.51,2904.77,2886.73
6/7/19,2852.87,2852.87,2884.97,2873.34
6/6/19,2828.51,2822.45,2852.1,2843.49
6/5/19,2818.09,2800.92,2827.28,2826.15
6/4/19,2762.64,2762.64,2804.49,2803.27
6/3/19,2751.53,2728.81,2763.07,2744.45
5/31/19,2766.15,2750.52,2768.98,2752.06
5/30/19,2786.94,2776.74,2799,2788.86
5/29/19,2790.25,2766.06,2792.03,2783.02
5/28/19,2830.03,2801.58,2840.51,2802.39
5/24/19,2832.41,2820.19,2841.36,2826.06
5/23/19,2836.7,2805.49,2836.7,2822.24
5/22/19,2856.06,2851.11,2865.47,2856.27
5/21/19,2854.02,2854.02,2868.88,2864.36
5/20/19,2841.94,2831.29,2853.86,2840.23
5/17/19,2858.6,2854.23,2885.48,2859.53
5/16/19,2855.8,2855.8,2892.15,2876.32
5/15/19,2820.38,2815.08,2858.68,2850.96
5/14/19,2820.12,2820.12,2852.54,2834.41
5/13/19,2840.19,2801.43,2840.19,2811.87
5/10/19,2863.1,2825.39,2891.31,2881.4
5/9/19,2859.84,2836.4,2875.97,2870.72
5/8/19,2879.61,2873.28,2897.96,2879.42
5/7/19,2913.03,2862.6,2913.03,2884.05
5/6/19,2908.89,2898.21,2937.32,2932.47
5/3/19,2929.21,2929.21,2947.85,2945.64
5/2/19,2922.16,2900.5,2931.68,2917.52
5/1/19,2952.33,2923.36,2954.13,2923.73
4/30/19,2937.14,2924.11,2948.22,2945.83
4/29/19,2940.58,2939.35,2949.52,2943.03
4/26/19,2925.81,2917.56,2939.88,2939.88
4/25/19,2928.99,2912.84,2933.1,2926.17
4/24/19,2934,2926.05,2936.83,2927.25
4/23/19,2909.99,2908.53,2936.31,2933.68
4/22/19,2898.78,2896.35,2909.51,2907.97
4/18/19,2904.81,2891.9,2908.4,2905.03
4/17/19,2916.04,2895.45,2918,2900.45
4/16/19,2912.26,2900.71,2916.06,2907.06
4/15/19,2908.32,2896.48,2909.6,2905.58
4/12/19,2900.86,2898.37,2910.54,2907.41
4/11/19,2891.92,2881.99,2893.42,2888.32
4/10/19,2881.37,2879.13,2889.71,2888.21
4/9/19,2886.58,2873.33,2886.88,2878.2
4/8/19,2888.46,2880.78,2895.95,2895.77
4/5/19,2884.16,2882.99,2893.24,2892.74
4/4/19,2873.99,2867.14,2881.28,2879.39
4/3/19,2876.09,2865.17,2885.25,2873.4
4/2/19,2868.24,2858.75,2872.9,2867.24
4/1/19,2848.63,2848.63,2869.4,2867.19
3/29/19,2828.27,2819.23,2836.03,2834.4
3/28/19,2809.4,2798.77,2819.71,2815.44
3/27/19,2819.72,2787.72,2825.56,2805.37
3/26/19,2812.66,2803.99,2829.87,2818.46
3/25/19,2796.01,2785.02,2809.79,2798.36
3/22/19,2844.52,2800.47,2846.16,2800.71
3/21/19,2819.72,2817.38,2860.31,2854.88
3/20/19,2831.34,2812.43,2843.54,2824.23
3/19/19,2840.76,2823.27,2852.42,2832.57
3/18/19,2822.61,2821.99,2835.41,2832.94
3/15/19,2810.79,2810.79,2830.73,2822.48
3/14/19,2810.38,2803.46,2815,2808.48
3/13/19,2799.78,2799.78,2821.24,2810.92
3/12/19,2787.34,2786.73,2798.32,2791.52
3/11/19,2747.61,2747.61,2784,2783.3
3/8/19,2730.79,2722.27,2744.13,2743.07
3/7/19,2766.53,2739.09,2767.25,2748.93
3/6/19,2790.27,2768.69,2790.27,2771.45
3/5/19,2794.41,2782.97,2796.44,2789.65
3/4/19,2814.37,2767.66,2816.88,2792.81
3/1/19,2798.22,2787.38,2808.02,2803.69
2/28/19,2788.11,2782.51,2793.73,2784.49
2/27/19,2787.5,2775.13,2795.76,2792.38
2/26/19,2792.36,2789.47,2803.12,2793.9
2/25/19,2804.35,2794.99,2813.49,2796.11
2/22/19,2780.67,2779.11,2794.2,2792.67
2/21/19,2780.24,2764.55,2781.58,2774.88
2/20/19,2779.05,2774.06,2789.88,2784.7
2/19/19,2769.28,2767.29,2787.33,2779.76
2/15/19,2760.24,2760.24,2775.66,2775.6
2/14/19,2743.5,2731.23,2757.9,2745.73
2/13/19,2750.3,2748.63,2761.85,2753.03
2/12/19,2722.61,2722.61,2748.19,2744.73
2/11/19,2712.4,2703.79,2718.05,2709.8
2/8/19,2692.36,2681.83,2708.07,2707.88
2/7/19,2717.53,2687.26,2719.32,2706.05
2/6/19,2735.05,2724.15,2738.08,2731.61
2/5/19,2728.34,2724.03,2738.98,2737.7
2/4/19,2706.49,2698.75,2724.99,2724.87
2/1/19,2702.32,2696.88,2716.66,2706.53
1/31/19,2685.49,2678.65,2708.95,2704.1
1/30/19,2653.62,2648.34,2690.44,2681.05
1/29/19,2644.89,2631.05,2650.93,2640
1/28/19,2644.97,2624.06,2644.97,2643.85
1/25/19,2657.44,2657.33,2672.38,2664.76
1/24/19,2638.84,2627.01,2647.2,2642.33
1/23/19,2643.48,2612.86,2653.19,2638.7
1/22/19,2657.88,2617.27,2657.88,2632.9
1/18/19,2651.27,2647.58,2675.47,2670.71
1/17/19,2609.28,2606.36,2645.06,2635.96
1/16/19,2614.75,2612.68,2625.76,2616.1
1/15/19,2585.1,2585.1,2613.08,2610.3
1/14/19,2580.31,2570.41,2589.32,2582.61
1/11/19,2592.74,2576.6,2596.72,2595.03
1/10/19,2573.51,2562.02,2597.82,2596.64
1/9/19,2580,2568.89,2595.32,2584.96
1/8/19,2568.11,2547.56,2579.82,2574.41
1/7/19,2535.61,2524.56,2566.16,2549.69
1/4/19,2474.33,2474.33,2538.07,2531.94
1/3/19,2491.92,2443.96,2493.14,2447.89
1/2/19,2476.96,2467.47,2519.49,2510.03
12/31/18,2508.21,2482.2,2511.78,2506.85
12/28/18,2498.77,2472.89,2520.27,2485.74
12/27/18,2442.5,2397.94,2489.1,2488.83
12/26/18,2363.12,2346.58,2467.76,2467.7
12/24/18,2400.56,2351.1,2410.34,2351.1
12/21/18,2465.38,2408.55,2504.41,2416.62
12/20/18,2496.77,2441.18,2509.63,2467.42
12/19/18,2547.05,2488.96,2585.29,2506.96
12/18/18,2559.9,2528.71,2573.99,2546.16
12/17/18,2590.75,2530.54,2601.13,2545.94
12/14/18,2629.68,2593.84,2635.07,2599.95
12/13/18,2658.7,2637.27,2670.19,2650.54
12/12/18,2658.23,2650.26,2685.44,2651.07
12/11/18,2664.44,2621.3,2674.35,2636.78
12/10/18,2630.86,2583.23,2647.51,2637.72
