Ticker,Current Price,DonchianLow,DonchianHigh,UpperVol,LowerVol,ImpliedVol,VolumeChange,UpperRange,LowerRange,PercentDownside,PercentUpside,Signal
PHYS,15.485,15.39,16.5,16.25058777,16.12941223,0.072,49.182,16.43941223,15.45058777,1%,7%,~1 Stdev Lower
F,7.255,6.52,7.13,7.177918841,7.002081159,0.085,-49.431,7.042081159,6.607918841,10%,Infinite,Donchian High Breached
WPM,49.63,51.93,57.89,53.29141001,52.20858999,0.58,-22.826,57.34858999,52.47141001,Infinite,17%,Donchian Low Breached
KGC,8.615,8.47,10.21,9.414758543,9.225241457,0.102,-18.546,10.11524146,8.564758543,2%,19%,~1 Stdev Lower
SPY,336.98,319.64,335.77,336.8796048,334.2603952,1.386,-39.868,334.4603952,320.9496048,5%,Infinite,Donchian High Breached
AG,11.9,12.72,14.57,13.08287141,12.85712859,0.159,66.785,14.45712859,12.83287141,Infinite,22%,Donchian Low Breached
GDX,39.71,40.96,45.78,42.78649052,41.99350948,0.39,35.94,45.38350948,41.35649052,Infinite,15%,Donchian Low Breached
AUY,5.965,6.22,7.02,6.48707428,6.39292572,0.055,-5.533,6.97292572,6.26707428,Infinite,18%,Donchian Low Breached
GDXJ,56.545,58.04,65.95,61.25400608,60.04599392,0.619,21.31,65.34599392,58.64400608,Infinite,17%,Donchian Low Breached
GLD,182.92,182.13,194.45,190.7334168,189.5665832,0.777,106.04,193.8665832,182.7134168,0%,6%,~1 Stdev Lower
GOLD,26.545,27.52,30.69,28.9704173,28.4695827,0.227,2.18,30.4395827,27.7704173,Infinite,16%,Donchian Low Breached
SPAZF,0.55,0.304,0.58,0.554235351,0.545764649,0.008,390.261,0.575764649,0.308235351,45%,5%,Hold - Within StDev
CNSUF,0.17,0.14,0.195,0.172438095,0.167561905,0.003,154.852,0.192561905,0.142438095,18%,15%,Hold - Within StDev
AUMN,0.4214,0.3867,0.5,0.448377981,0.431622019,0.007,0.693,0.491622019,0.395077981,8%,19%,~1 Stdev Lower
HL,5.835,5.19,6.79,6.272718982,6.187281018,0.078,82.014,6.747281018,5.232718982,11%,16%,~1 Stdev Lower
MUX,1.28,1.29,1.53,1.382863236,1.357136764,0.016,35.193,1.517136764,1.302863236,Infinite,20%,Donchian Low Breached
JPM,105.595,95.03,102.04,101.8632065,99.41679349,1.064,-39.756,100.8167935,96.25320651,10%,Infinite,Donchian High Breached
MSFT,207.045,199.01,217.64,209.8555353,206.6444647,1.287,10.553,216.0344647,200.6155353,4%,5%,Hold - Within StDev
EGO,11.19,11.62,13.2,12.03649487,11.72350513,0.153,-38.434,13.04350513,11.77649487,Infinite,18%,Donchian Low Breached
NEM,63.765,64.53,72.22,68.41840415,67.36159585,0.497,-40.992,71.69159585,65.05840415,Infinite,13%,Donchian Low Breached
FNV,144.255,152.1,166.11,153.7167282,151.6832718,1.122,-16.157,165.0932718,153.1167282,Infinite,15%,Donchian Low Breached
SBSW,11.06,10.91,12.47,11.53293429,11.28706571,0.138,21.304,12.34706571,11.03293429,1%,13%,~1 Stdev Lower
SLV,25.24,21.4,27.39,27.07056785,26.92943215,0.178,219.332,27.31943215,21.47056785,15%,9%,~1 Stdev Lower
UBER,32.145,29.79,34.8,32.69681785,31.84318215,0.392,-29.077,34.37318215,30.21681785,7%,8%,Hold - Within StDev
VXX,25.21,25.66,31.27,26.36039929,25.13960071,0.608,55.318,30.65960071,26.27039929,Infinite,24%,Donchian Low Breached
WKHS,15.56,14.8,19.68,16.58870008,13.95129992,0.928,830.263,18.36129992,16.11870008,5%,26%,Buy!
TLT,166.49,168.97,172.25,169.5755624,168.6644376,0.493,-38.063,171.7944376,169.4255624,Infinite,3%,Donchian Low Breached
CVNA,195.88,148.49,225.45,191.8604609,188.3795391,2.064,-30.696,223.7095391,150.2304609,24%,15%,~1 Stdev Higher
ISVLF,0.75,0.6777,0.92,0.757949811,0.742050189,0.011,171.4,0.912050189,0.685649811,10%,23%,Hold - Within StDev
