Ticker,Current Price,ShortTermDonchianLow,ShortTermDonchianHigh,TechnicalLow,TechnicalHigh,Upper StDev,Lower StDev,ImpliedVol,VolumeChange,UpperRange,LowerRange,PercentDownside,PercentUpside,Signal
PHYS,15.38,15.16,16.5,14.43,16.5,15.310866512868927,15.189133487131073,0.072,278.795,16.439133487131073,15.220866512868927,1%,7%,~1 Stdev Higher
F,7.125,6.52,7.38,6.05,7.38,7.298908965265052,7.161091034734949,0.069,-36.055,7.3110910347349485,6.588908965265051,8%,4%,~1 Stdev Lower
KGC,8.78,8.4,10.21,7.27,10.21,8.640878519997718,8.43912148000228,0.107,128.622,10.109121480002282,8.50087851999772,4%,16%,~1 Stdev Higher
SPY,337.67,321.33,337.54,312.0,337.54,333.98349996886714,331.6165000311329,1.271,-10.168,336.3565000311329,322.5134999688671,5%,Infinite,Donchian High Breached; Potential Breakout
AG,11.715,11.32,14.57,9.99,14.57,11.543202742587933,11.296797257412067,0.162,250.338,14.446797257412067,11.443202742587934,3%,24%,~1 Stdev Higher
GDX,40.27,38.88,45.78,36.87,45.78,39.4750153595854,38.624984640414596,0.41,227.906,45.3549846404146,39.305015359585404,3%,14%,~1 Stdev Higher
AUY,5.95,5.77,7.02,5.26,7.02,5.850424506482408,5.749575493517591,0.058,62.22,6.969575493517591,5.820424506482408,3%,18%,~1 Stdev Higher
GDXJ,57.525,54.94,65.95,51.04,65.95,55.85215401069864,54.527845989301355,0.657,250.723,65.28784598930136,55.60215401069864,4%,15%,~1 Stdev Higher
GLD,182.675,179.43,194.45,168.65,194.45,180.50715495086618,179.37284504913382,0.758,401.403,193.8828450491338,179.9971549508662,2%,6%,~1 Stdev Higher
GOLD,26.585,25.87,30.69,25.87,30.69,26.502851739881844,25.997148260118156,0.231,68.689,30.437148260118157,26.122851739881845,3%,15%,~1 Stdev Higher
SPAZF,0.48,0.3241,0.585,0.13,0.585,0.4857897786520481,0.4762102213479519,0.008,343.097,0.5802102213479519,0.3288897786520481,32%,22%,Hold - Within StDev
CNSUF,0.16,0.1406,0.195,0.1023,0.1952,0.16091959252730273,0.15468040747269726,0.004,750.0,0.19188040747269727,0.14371959252730274,12%,22%,Hold - Within StDev
AUMN,0.4305,0.41,0.5,0.3867,0.58,0.4332922252089195,0.41570777479108045,0.007,126.051,0.49120777479108046,0.4187922252089195,5%,16%,Hold - Within StDev
HL,5.825,5.31,6.79,3.77,6.79,5.681793113097638,5.578206886902362,0.081,139.401,6.738206886902362,5.3617931130976375,9%,17%,~1 Stdev Higher
MUX,1.245,1.24,1.53,1.01,1.53,1.2641711316782434,1.2358288683217566,0.016,160.605,1.5158288683217567,1.2541711316782433,0%,23%,Buy!
JPM,102.68,95.03,106.16,95.03,106.16,104.8432778364158,102.79672216358419,0.882,85.065,105.1367221635842,96.0532778364158,7%,3%,~1 Stdev Lower
MSFT,209.61,199.01,217.64,197.51,217.64,205.07467589155286,201.68532410844713,1.319,22.37,215.94532410844712,200.70467589155285,5%,4%,~1 Stdev Higher
EGO,11.195,10.86,13.2,10.67,13.2,11.058496517316811,10.72150348268319,0.16,62.304,13.031503482683188,11.02849651731681,3%,18%,~1 Stdev Higher
NEM,64.11,62.65,72.22,59.05,72.22,63.410926988681304,62.32907301131869,0.521,-4.227,71.67907301131869,63.190926988681305,2%,13%,~1 Stdev Higher
FNV,147.91,141.26,166.11,141.05,166.11,143.53887737289563,141.42112262710435,1.143,73.193,165.05112262710438,142.31887737289563,4%,12%,~1 Stdev Higher
SBSW,11.38,10.71,12.47,9.39,12.53,10.938028366606991,10.66197163339301,0.142,173.979,12.33197163339301,10.848028366606991,6%,10%,~1 Stdev Higher
SLV,24.235,22.11,27.39,17.67,27.39,23.408458937038805,23.25154106296119,0.185,791.314,27.311541062961194,22.188458937038806,9%,13%,~1 Stdev Higher
UBER,31.03,29.79,34.8,29.79,34.8,31.578439076923406,30.841560923076596,0.34,108.695,34.43156092307659,30.158439076923404,4%,12%,Hold - Within StDev
WKHS,15.045,14.8,19.68,13.36,19.68,16.630206625212367,13.989793374787634,1.006,44.124,18.359793374787635,16.12020662521237,2%,31%,Buy!
TLT,165.365,165.88,172.25,165.23,172.25,167.51758686267505,166.68241313732494,0.434,111.475,171.83241313732495,166.29758686267505,0%,4%,Buy!
CVNA,193.66,151.44,225.45,124.89,225.45,189.51982476918394,185.78017523081607,2.132,11.387,223.58017523081605,153.30982476918393,22%,16%,~1 Stdev Higher
ISVLF,0.7,0.6725,0.92,0.53,0.981,0.7095788667017762,0.6918211332982238,0.011,345.182,0.9111211332982239,0.6813788667017762,4%,31%,Hold - Within StDev
