"Date","Open","Low","High","Close"
01-14-2021,"1,845.18 ","1,836.23 ","1,855.46 ","1,846.83 "
01-13-2021,"1,854.77 ","1,850.27 ","1,862.59 ","1,850.27 "
01-12-2021,"1,843.49 ","1,838.56 ","1,863.39 ","1,855.80 "
01-11-2021,"1,850.29 ","1,821.50 ","1,855.30 ","1,846.21 "
01-08-2021,"1,913.73 ","1,831.34 ","1,916.87 ","1,848.68 "
01-07-2021,"1,918.82 ","1,909.64 ","1,926.73 ","1,914.65 "
01-06-2021,"1,949.62 ","1,901.59 ","1,958.51 ","1,918.54 "
01-05-2021,"1,942.23 ","1,894.53 ","1,952.40 ","1,949.62 "
01-04-2021,"1,890.90 ","1,872.56 ","1,943.67 ","1,942.23 "
01-01-2021,"1,897.35 ","1,897.35 ","1,898.24 ","1,898.24 "
12-31-2020,"1,894.56 ","1,886.88 ","1,900.21 ","1,900.21 "
12-30-2020,"1,878.34 ","1,877.03 ","1,892.31 ","1,892.31 "
12-29-2020,"1,873.63 ","1,873.63 ","1,885.06 ","1,879.89 "
12-28-2020,"1,894.99 ","1,872.00 ","1,898.90 ","1,873.50 "
12-25-2020,"1,878.31 ","1,872.85 ","1,878.31 ","1,872.85 "
12-24-2020,"1,873.13 ","1,871.06 ","1,880.31 ","1,877.08 "
12-23-2020,"1,860.17 ","1,860.17 ","1,877.37 ","1,870.80 "
12-22-2020,"1,876.83 ","1,860.09 ","1,883.78 ","1,860.67 "
12-21-2020,"1,881.85 ","1,864.89 ","1,906.40 ","1,875.86 "
12-18-2020,"1,885.47 ","1,878.21 ","1,889.18 ","1,879.76 "
12-17-2020,"1,864.86 ","1,862.79 ","1,895.20 ","1,883.63 "
12-16-2020,"1,853.45 ","1,848.20 ","1,865.06 ","1,863.58 "
12-15-2020,"1,827.09 ","1,826.32 ","1,855.15 ","1,853.50 "
12-14-2020,"1,839.20 ","1,823.07 ","1,839.20 ","1,828.29 "
12-11-2020,"1,836.72 ","1,826.47 ","1,846.90 ","1,839.03 "
12-10-2020,"1,840.19 ","1,830.36 ","1,848.98 ","1,835.60 "
12-09-2020,"1,870.41 ","1,828.95 ","1,870.41 ","1,837.85 "
12-08-2020,"1,862.33 ","1,860.83 ","1,874.46 ","1,869.75 "
12-07-2020,"1,838.96 ","1,826.97 ","1,867.13 ","1,862.96 "
12-04-2020,"1,841.04 ","1,831.12 ","1,846.24 ","1,836.39 "
12-03-2020,"1,830.48 ","1,826.70 ","1,842.84 ","1,841.60 "
12-02-2020,"1,815.19 ","1,808.59 ","1,831.61 ","1,829.09 "
12-01-2020,"1,776.94 ","1,776.31 ","1,816.43 ","1,814.65 "
11-30-2020,"1,788.10 ","1,766.40 ","1,878.50 ","1,776.29 "
11-27-2020,"1,810.29 ","1,775.76 ","1,812.89 ","1,788.18 "
11-26-2020,"1,807.69 ","1,807.49 ","1,816.89 ","1,810.33 "
11-25-2020,"1,807.66 ","1,802.57 ","1,816.10 ","1,806.67 "
11-24-2020,"1,837.90 ","1,801.93 ","1,838.58 ","1,807.74 "
11-23-2020,"1,870.92 ","1,832.32 ","1,875.50 ","1,836.50 "
11-20-2020,"1,866.24 ","1,861.51 ","1,879.11 ","1,873.55 "
11-19-2020,"1,872.34 ","1,855.22 ","1,874.00 ","1,866.74 "
11-18-2020,"1,880.04 ","1,867.40 ","1,884.36 ","1,870.06 "
11-17-2020,"1,888.99 ","1,881.81 ","1,892.60 ","1,881.81 "
11-16-2020,"1,889.55 ","1,871.00 ","1,898.82 ","1,886.70 "
11-13-2020,"1,877.05 ","1,875.41 ","1,896.20 ","1,887.40 "
11-12-2020,"1,865.49 ","1,863.20 ","1,883.08 ","1,875.44 "
11-11-2020,"1,877.28 ","1,857.45 ","1,883.57 ","1,864.39 "
11-10-2020,"1,862.64 ","1,861.16 ","1,889.40 ","1,873.87 "
11-09-2020,"1,951.22 ","1,853.50 ","1,964.80 ","1,865.05 "
11-06-2020,"1,949.53 ","1,936.82 ","1,960.31 ","1,951.90 "
11-05-2020,"1,903.10 ","1,902.89 ","1,952.50 ","1,950.56 "
11-04-2020,"1,909.59 ","1,886.90 ","1,915.16 ","1,901.86 "
11-03-2020,"1,895.16 ","1,888.89 ","1,910.40 ","1,906.91 "
11-02-2020,"1,881.51 ","1,874.37 ","1,895.50 ","1,895.50 "
10-30-2020,"1,867.81 ","1,865.45 ","1,888.44 ","1,878.61 "
10-29-2020,"1,877.31 ","1,860.50 ","1,884.59 ","1,867.25 "
10-28-2020,"1,907.70 ","1,871.64 ","1,909.98 ","1,876.83 "
10-27-2020,"1,902.19 ","1,898.71 ","1,910.99 ","1,907.45 "
10-26-2020,"1,901.89 ","1,893.69 ","1,907.17 ","1,901.40 "
10-23-2020,"1,903.92 ","1,895.80 ","1,913.93 ","1,901.69 "
10-22-2020,"1,924.64 ","1,896.22 ","1,925.91 ","1,903.92 "
10-21-2020,"1,907.01 ","1,907.01 ","1,930.48 ","1,924.80 "
10-20-2020,"1,904.22 ","1,896.55 ","1,914.16 ","1,907.79 "
10-19-2020,"1,898.90 ","1,898.31 ","1,916.62 ","1,903.30 "
10-16-2020,"1,908.39 ","1,898.03 ","1,912.01 ","1,898.99 "
10-15-2020,"1,901.48 ","1,890.35 ","1,908.76 ","1,908.02 "
10-14-2020,"1,891.16 ","1,884.80 ","1,912.12 ","1,900.66 "
10-13-2020,"1,922.64 ","1,888.24 ","1,924.97 ","1,891.43 "
10-12-2020,"1,930.30 ","1,919.59 ","1,932.30 ","1,922.92 "
10-09-2020,"1,893.57 ","1,893.32 ","1,930.52 ","1,929.80 "
10-08-2020,"1,887.58 ","1,882.60 ","1,898.90 ","1,893.46 "
10-07-2020,"1,878.08 ","1,875.68 ","1,897.62 ","1,888.07 "
10-06-2020,"1,913.54 ","1,877.30 ","1,919.97 ","1,877.80 "
10-05-2020,"1,899.29 ","1,888.24 ","1,916.90 ","1,913.83 "
10-02-2020,"1,905.39 ","1,891.90 ","1,915.80 ","1,900.89 "
10-01-2020,"1,885.72 ","1,885.53 ","1,911.59 ","1,905.81 "
09-30-2020,"1,897.42 ","1,881.50 ","1,901.76 ","1,885.45 "
09-29-2020,"1,881.57 ","1,877.17 ","1,898.58 ","1,897.33 "
09-28-2020,"1,861.55 ","1,850.80 ","1,882.87 ","1,881.93 "
09-25-2020,"1,867.85 ","1,855.28 ","1,874.69 ","1,860.34 "
09-24-2020,"1,863.64 ","1,849.06 ","1,875.89 ","1,868.48 "
09-23-2020,"1,900.14 ","1,858.30 ","1,904.83 ","1,862.60 "
09-22-2020,"1,912.68 ","1,897.48 ","1,919.23 ","1,900.82 "
09-21-2020,"1,950.10 ","1,887.24 ","1,954.51 ","1,912.09 "
09-18-2020,"1,944.37 ","1,944.25 ","1,959.10 ","1,950.63 "
09-17-2020,"1,959.62 ","1,934.60 ","1,960.50 ","1,944.42 "
09-16-2020,"1,954.42 ","1,951.56 ","1,971.34 ","1,959.31 "
09-15-2020,"1,956.56 ","1,948.60 ","1,970.81 ","1,953.48 "
09-14-2020,"1,940.26 ","1,938.80 ","1,961.10 ","1,956.61 "
09-11-2020,"1,946.29 ","1,938.35 ","1,953.60 ","1,940.52 "
09-10-2020,"1,946.64 ","1,941.87 ","1,966.08 ","1,945.57 "
